Pathway	Gene	OG_TSG
Cell_Cycle	CDKN1A	TSG
Cell_Cycle	CDKN1B	TSG
Cell_Cycle	CDKN2A	TSG
Cell_Cycle	CDKN2B	TSG
Cell_Cycle	CDKN2C	TSG
Cell_Cycle	CCND1	OG
Cell_Cycle	CCND2	OG
Cell_Cycle	CCND3	OG
Cell_Cycle	CCNE1	OG
Cell_Cycle	CDK2	OG
Cell_Cycle	CDK4	OG
Cell_Cycle	CDK6	OG
Cell_Cycle	RB1	TSG
Cell_Cycle	E2F1	OG
Cell_Cycle	E2F3	OG
Hippo	STK4	TSG
Hippo	STK3	TSG
Hippo	SAV1	TSG
Hippo	LATS1	TSG
Hippo	LATS2	TSG
Hippo	MOB1A	TSG
Hippo	MOB1B	TSG
Hippo	YAP1	OG
Hippo	WWTR1	OG
Hippo	TEAD1	OG
Hippo	TEAD2	OG
Hippo	TEAD3	OG
Hippo	TEAD4	OG
Hippo	PTPN14	TSG
Hippo	NF2	TSG
Hippo	WWC1	TSG
Hippo	TAOK1	TSG
Hippo	TAOK2	TSG
Hippo	TAOK3	TSG
Hippo	CRB1	TSG
Hippo	CRB2	TSG
Hippo	CRB3	TSG
Hippo	LLGL1	TSG
Hippo	LLGL2	TSG
Hippo	HMCN1	TSG
Hippo	SCRIB	Unknown
Hippo	HIPK2	OG
Hippo	FAT1	TSG
Hippo	FAT2	TSG
Hippo	FAT3	TSG
Hippo	FAT4	TSG
Hippo	DCHS1	TSG
Hippo	DCHS2	TSG
Hippo	CSNK1E	TSG
Hippo	CSNK1D	TSG
Hippo	AJUBA	OG
Hippo	LIMD1	OG
Hippo	WTIP	OG
MYC	MAX	TSG
MYC	MGA	TSG
MYC	MLX	TSG
MYC	MLXIP	OG
MYC	MLXIPL	OG
MYC	MNT	TSG
MYC	MXD1	
MYC	MXD3	
MYC	MXD4	
MYC	MXI1	TSG
MYC	MYC	OG
MYC	MYCL	OG
MYC	MYCN	OG
NOTCH	ARRDC1	OG
